expName	date	vpNum	gender	age	handedness	mapping	block	trial	trialCount	practice	stimComb	language	word	colour	compCode	compLabel	corrKeyLabel	corrKeyNum	fixOn_VBLTimestamp	fixOn_StimulusOnsetTime	fixOn_FlipTimestamp	fixOn_Missed	fixOn_Beampos	stroopOn_VBLTimestamp	stroopOn_StimulusOnsetTime	stroopOn_FlipTimestamp	stroopOn_Missed	stroopOn_Beampos	fbOn_VBLTimestamp	fbOn_StimulusOnsetTime	fbOn_FlipTimestamp	fbOn_Missed	fbOn_Beampos	fbOff_VBLTimestamp	fbOff_StimulusOnsetTime	fbOff_FlipTimestamp	fbOff_Missed	fbOff_Beampos	respKey	respKeyTimestamp	corr	rt
stroopControlBeh	20170126T121524	1	m	19	r	1	7	13	525	0	3	L1	blue	blue	1	comp	left	127	1485429323.451402	1485429323.451402	1485429323.451892	-0.000837	10	1485429324.202299	1485429324.202299	1485429324.202760	-0.000833	9	1485429324.636154	1485429324.636154	1485429324.636376	-0.000831	3	1485429324.636154	1485429324.636154	1485429324.636376	-0.000831	3	127	1485429324.630603	1	426.326990
stroopControlBeh	20170126T121526	1	m	19	r	1	7	14	526	0	7	L1	brown	blue	2	incomp	left	127	1485429325.387047	1485429325.387047	1485429325.387526	-0.000837	10	1485429326.137943	1485429326.137943	1485429326.138372	-0.000834	8	1485429326.521735	1485429326.521735	1485429326.522008	-0.000834	5	1485429326.521735	1485429326.521735	1485429326.522008	-0.000834	5	127	1485429326.510607	1	370.680809
stroopControlBeh	20170126T121528	1	m	19	r	1	7	15	527	0	1	L1	red	red	1	comp	left	127	1485429327.272632	1485429327.272632	1485429327.273099	-0.000833	9	1485429328.023528	1485429328.023528	1485429328.024054	-0.000834	9	1485429328.340576	1485429328.340576	1485429328.340807	-0.000831	3	1485429328.340576	1485429328.340576	1485429328.340807	-0.000831	3	127	1485429328.333602	1	308.082581
stroopControlBeh	20170126T121530	1	m	19	r	1	7	16	528	0	8	L1	brown	brown	1	comp	right	191	1485429329.091470	1485429329.091470	1485429329.091946	-0.000836	9	1485429329.842367	1485429329.842367	1485429329.842883	-0.000834	12	1485429330.526517	1485429330.526517	1485429330.526869	-0.000834	7	1485429330.526517	1485429330.526517	1485429330.526869	-0.000834	7	191	1485429330.510603	1	666.246891
stroopControlBeh	20170126T121533	1	m	19	r	1	7	17	529	0	14	L2	grün	green	1	comp	right	191	1485429331.277414	1485429331.277414	1485429331.277899	-0.000834	10	1485429332.028310	1485429332.028310	1485429332.028855	-0.000834	11	1485429332.946072	1485429332.946072	1485429332.946520	-0.000834	8	1485429333.947268	1485429333.947268	1485429333.947723	-0.000833	10	127	1485429332.926595	2	896.299601
stroopControlBeh	20170126T121535	1	m	19	r	1	7	18	530	0	9	L2	rot	red	1	comp	left	127	1485429334.698165	1485429334.698165	1485429334.698597	-0.000834	8	1485429335.449061	1485429335.449061	1485429335.449585	-0.000834	10	1485429335.949662	1485429335.949662	1485429335.949930	-0.000831	5	1485429335.949662	1485429335.949662	1485429335.949930	-0.000831	5	127	1485429335.945586	1	494.537592
stroopControlBeh	20170126T121538	1	m	19	r	1	7	19	531	0	2	L1	red	green	2	incomp	right	191	1485429336.700556	1485429336.700556	1485429336.701006	-0.000836	8	1485429337.451452	1485429337.451452	1485429337.451976	-0.000834	11	1485429337.818557	1485429337.818557	1485429337.818873	-0.000835	5	1485429338.819752	1485429338.819752	1485429338.820252	-0.000833	12	127	1485429337.805601	2	352.142811
stroopControlBeh	20170126T121540	1	m	19	r	1	7	20	532	0	2	L1	red	green	2	incomp	right	191	1485429339.570649	1485429339.570649	1485429339.571176	-0.000833	12	1485429340.321547	1485429340.321547	1485429340.322018	-0.000833	7	1485429340.738714	1485429340.738714	1485429340.738945	-0.000831	3	1485429340.738714	1485429340.738714	1485429340.738945	-0.000831	3	191	1485429340.733578	1	410.047531
stroopControlBeh	20170126T121542	1	m	19	r	1	7	21	533	0	5	L1	green	red	2	incomp	left	127	1485429341.489607	1485429341.489607	1485429341.490009	-0.000837	7	1485429342.240504	1485429342.240504	1485429342.241063	-0.000834	11	1485429342.691042	1485429342.691042	1485429342.691321	-0.000833	4	1485429342.691042	1485429342.691042	1485429342.691321	-0.000833	4	127	1485429342.683571	1	441.082478
stroopControlBeh	20170126T121544	1	m	19	r	1	7	22	534	0	12	L2	blau	brown	2	incomp	right	191	1485429343.441938	1485429343.441938	1485429343.442397	-0.000834	10	1485429344.192835	1485429344.192835	1485429344.193354	-0.000833	10	1485429344.543253	1485429344.543253	1485429344.543608	-0.000835	7	1485429344.543253	1485429344.543253	1485429344.543608	-0.000835	7	191	1485429344.529563	1	334.754705
stroopControlBeh	20170126T121546	1	m	19	r	1	7	23	535	0	13	L2	grün	red	2	incomp	left	127	1485429345.294150	1485429345.294150	1485429345.294664	-0.000833	11	1485429346.045046	1485429346.045046	1485429346.045576	-0.000834	11	1485429346.595705	1485429346.595705	1485429346.596087	-0.000833	9	1485429346.595705	1485429346.595705	1485429346.596087	-0.000833	9	127	1485429346.581563	1	534.530640
stroopControlBeh	20170126T121548	1	m	19	r	1	7	24	536	0	15	L2	braun	blue	2	incomp	left	127	1485429347.346600	1485429347.346600	1485429347.347021	-0.000834	7	1485429348.097497	1485429348.097497	1485429348.098062	-0.000833	12	1485429348.514664	1485429348.514664	1485429348.514873	-0.000831	3	1485429348.514664	1485429348.514664	1485429348.514873	-0.000831	3	127	1485429348.508561	1	409.077883
stroopControlBeh	20170126T121550	1	m	19	r	1	7	25	537	0	5	L1	green	red	2	incomp	left	127	1485429349.265561	1485429349.265561	1485429349.265974	-0.000833	7	1485429350.016455	1485429350.016455	1485429350.016970	-0.000837	10	1485429350.483679	1485429350.483679	1485429350.483968	-0.000834	6	1485429350.483679	1485429350.483679	1485429350.483968	-0.000834	6	127	1485429350.478560	1	460.114956
stroopControlBeh	20170126T121552	1	m	19	r	1	7	26	538	0	1	L1	red	red	1	comp	left	127	1485429351.234576	1485429351.234576	1485429351.235041	-0.000833	8	1485429351.985473	1485429351.985473	1485429351.985998	-0.000833	10	1485429352.352579	1485429352.352579	1485429352.352840	-0.000834	5	1485429352.352579	1485429352.352579	1485429352.352840	-0.000834	5	127	1485429352.347554	1	360.090494
stroopControlBeh	20170126T121554	1	m	19	r	1	7	27	539	0	9	L2	rot	red	1	comp	left	127	1485429353.103474	1485429353.103474	1485429353.103978	-0.000835	11	1485429353.854371	1485429353.854371	1485429353.854924	-0.000833	12	1485429354.188106	1485429354.188106	1485429354.188312	-0.000831	2	1485429354.188106	1485429354.188106	1485429354.188312	-0.000831	2	127	1485429354.180549	1	324.192047
stroopControlBeh	20170126T121556	1	m	19	r	1	7	28	540	0	15	L2	braun	blue	2	incomp	left	127	1485429354.938999	1485429354.938999	1485429354.939500	-0.000837	11	1485429355.689897	1485429355.689897	1485429355.690428	-0.000833	11	1485429356.140434	1485429356.140434	1485429356.140707	0.015852	5	1485429356.140434	1485429356.140434	1485429356.140707	0.015852	5	127	1485429356.122541	1	430.662394
stroopControlBeh	20170126T121558	1	m	19	r	1	7	29	541	0	12	L2	blau	brown	2	incomp	right	191	1485429356.891330	1485429356.891330	1485429356.891862	-0.000834	11	1485429357.642227	1485429357.642227	1485429357.642755	-0.000833	11	1485429358.076081	1485429358.076081	1485429358.076366	-0.000832	6	1485429358.076081	1485429358.076081	1485429358.076366	-0.000832	6	191	1485429358.064543	1	420.331717
stroopControlBeh	20170126T121600	1	m	19	r	1	7	30	542	0	6	L1	green	green	1	comp	right	191	1485429358.826975	1485429358.826975	1485429358.827433	-0.000835	10	1485429359.577871	1485429359.577871	1485429359.578392	-0.000834	11	1485429360.111842	1485429360.111842	1485429360.112143	-0.000834	6	1485429360.111842	1485429360.111842	1485429360.112143	-0.000834	6	191	1485429360.096539	1	516.679764
stroopControlBeh	20170126T121602	1	m	19	r	1	7	31	543	0	11	L2	blau	blue	1	comp	left	127	1485429360.862739	1485429360.862739	1485429360.863230	-0.000834	11	1485429361.613635	1485429361.613635	1485429361.614180	-0.000834	11	1485429362.064177	1485429362.064177	1485429362.064399	-0.000830	3	1485429362.064177	1485429362.064177	1485429362.064399	-0.000830	3	127	1485429362.058532	1	442.910671
